"Statistic","CensusYear","Alphabetical List of Towns","UNIT","VALUE"
"Total Population (Number)","2016","Whitechurch, Cork","Number","665"
"Total Population (Number)","2016","Whitegate, Cork","Number","1154"
"Total Population (Number)","2016","Whitegate, Clare","Number","168"
"Total Population (Number)","2016","Wicklow, Wicklow","Number","10584"
"Total Population (Number)","2016","Williamstown, Galway","Number","148"
"Total Population (Number)","2016","Woodford, Galway","Number","239"
"Total Population (Number)","2016","Youghal, Cork","Number","7963"
"Total Population (Number)","2016","Towns of all sizes","Number","3330141"
"Birthplace - Dublin (Number)","2016","Abbeydorney, Kerry","Number","19"
"Birthplace - Dublin (Number)","2016","Abbeyfeale, Limerick","Number","22"
"Birthplace - Dublin (Number)","2016","Abbeyknockmoy, Galway","Number","11"
"Birthplace - Dublin (Number)","2016","Abbeyleix, Laois","Number","199"
"Birthplace - Dublin (Number)","2016","Adamstown, Wexford","Number","9"
"Birthplace - Dublin (Number)","2016","Adare, Limerick","Number","33"
"Birthplace - Dublin (Number)","2016","Aghada-Farsid-Rostellan, Cork","Number","42"
"Birthplace - Dublin (Number)","2016","Aglish, Waterford","Number","11"
"Birthplace - Dublin (Number)","2016","Ahascragh, Galway","Number","7"
"Birthplace - Dublin (Number)","2016","Ailt an Chorráin, Donegal","Number","8"
"Birthplace - Dublin (Number)","2016","Allenwood, Kildare","Number","306"
"Birthplace - Dublin (Number)","2016","Anagaire, Donegal","Number","1"
"Birthplace - Dublin (Number)","2016","An Bun Beag-Doirí Beaga, Donegal","Number","27"
"Birthplace - Dublin (Number)","2016","An Charraig, Donegal","Number","13"
"Birthplace - Dublin (Number)","2016","An Cheathrú Rua, Galway","Number","15"
"Birthplace - Dublin (Number)","2016","An Clochán Liath, Donegal","Number","30"
"Birthplace - Dublin (Number)","2016","An Daingean, Kerry","Number","117"
"Birthplace - Dublin (Number)","2016","An Fál Carrach, Donegal","Number","23"
"Birthplace - Dublin (Number)","2016","Annacotty, Limerick","Number","140"
"Birthplace - Dublin (Number)","2016","Annagassan, Louth","Number","18"
"Birthplace - Dublin (Number)","2016","Annaghdown, Galway","Number","5"
"Birthplace - Dublin (Number)","2016","Annascaul, Kerry","Number","15"
"Birthplace - Dublin (Number)","2016","Annayalla, Monaghan","Number","5"
"Birthplace - Dublin (Number)","2016","An Rinn, Waterford","Number","17"
"Birthplace - Dublin (Number)","2016","An Spidéal, Galway","Number","23"
"Birthplace - Dublin (Number)","2016","Ardagh, Limerick","Number","1"
"Birthplace - Dublin (Number)","2016","Ardara, Donegal","Number","19"
"Birthplace - Dublin (Number)","2016","Ardee, Louth","Number","300"
"Birthplace - Dublin (Number)","2016","Ardfert, Kerry","Number","20"
"Birthplace - Dublin (Number)","2016","Ardfinnan, South Tipperary","Number","19"
"Birthplace - Dublin (Number)","2016","Ardmore, Waterford","Number","16"
"Birthplace - Dublin (Number)","2016","Ardnacrusha (Castlebank), Clare","Number","29"
"Birthplace - Dublin (Number)","2016","Ardskeagh, Clare","Number","4"
"Birthplace - Dublin (Number)","2016","Arklow, Wicklow","Number","3228"
"Birthplace - Dublin (Number)","2016","Arthurstown, Wexford","Number","11"
"Birthplace - Dublin (Number)","2016","Arva, Cavan","Number","29"
"Birthplace - Dublin (Number)","2016","Ashbourne, Meath","Number","5858"
"Birthplace - Dublin (Number)","2016","Ashford, Wicklow","Number","487"
"Birthplace - Dublin (Number)","2016","Askeaton, Limerick","Number","21"
"Birthplace - Dublin (Number)","2016","Athboy, Meath","Number","524"
"Birthplace - Dublin (Number)","2016","Athea, Limerick","Number","7"
"Birthplace - Dublin (Number)","2016","Athenry, Galway","Number","194"
"Birthplace - Dublin (Number)","2016","Athgarvan, Kildare","Number","356"
"Birthplace - Dublin (Number)","2016","Athleague, Roscommon","Number","9"
"Birthplace - Dublin (Number)","2016","Athlone, Westmeath","Number","1052"
"Birthplace - Dublin (Number)","2016","Athy, Kildare","Number","1774"
"Birthplace - Dublin (Number)","2016","Aughnacliffe, Longford","Number","16"
"Birthplace - Dublin (Number)","2016","Aughrim, Wicklow","Number","435"
"Birthplace - Dublin (Number)","2016","Avoca, Wicklow","Number","241"
"Birthplace - Dublin (Number)","2016","Baile an Droichid, Donegal","Number","0"
"Birthplace - Dublin (Number)","2016","Bailieborough, Cavan","Number","444"
"Birthplace - Dublin (Number)","2016","Baile Chláir, Galway","Number","46"
"Birthplace - Dublin (Number)","2016","Baile Mhic Íre, Cork","Number","5"
"Birthplace - Dublin (Number)","2016","Balbradagh, Meath","Number","118"
"Birthplace - Dublin (Number)","2016","Balbriggan, Fingal","Number","12624"
"Birthplace - Dublin (Number)","2016","Balla, Mayo","Number","34"
"Birthplace - Dublin (Number)","2016","Ballaghaderreen, Roscommon","Number","100"
"Birthplace - Dublin (Number)","2016","Ballina, Mayo","Number","355"
"Birthplace - Dublin (Number)","2016","Ballina, North Tipperary","Number","216"
"Birthplace - Dublin (Number)","2016","Ballinabrannagh, Carlow","Number","81"
"Birthplace - Dublin (Number)","2016","Ballinacarrow, Sligo","Number","6"
"Birthplace - Dublin (Number)","2016","Ballinaclash, Wicklow","Number","103"
"Birthplace - Dublin (Number)","2016","Ballinagar, Offaly","Number","40"
"Birthplace - Dublin (Number)","2016","Ballinagh, Cavan","Number","45"
"Birthplace - Dublin (Number)","2016","Ballinakill, Laois","Number","59"
"Birthplace - Dublin (Number)","2016","Ballinalack, Westmeath","Number","17"
"Birthplace - Dublin (Number)","2016","Ballinalee, Longford","Number","40"
"Birthplace - Dublin (Number)","2016","Ballinameen, Roscommon","Number","17"
"Birthplace - Dublin (Number)","2016","Ballinamore, Leitrim","Number","67"
"Birthplace - Dublin (Number)","2016","Ballinasloe, Galway","Number","226"
"Birthplace - Dublin (Number)","2016","Ballincar, Sligo","Number","47"
"Birthplace - Dublin (Number)","2016","Ballinderreen, Galway","Number","42"
"Birthplace - Dublin (Number)","2016","Ballindine, Mayo","Number","6"
"Birthplace - Dublin (Number)","2016","Ballineen/Enniskean, Cork","Number","11"
"Birthplace - Dublin (Number)","2016","Ballingarry, Limerick","Number","10"
"Birthplace - Dublin (Number)","2016","Ballingarry, South Tipperary","Number","6"
"Birthplace - Dublin (Number)","2016","Ballinlough, Roscommon","Number","27"
"Birthplace - Dublin (Number)","2016","Ballinroad, Waterford","Number","50"
"Birthplace - Dublin (Number)","2016","Ballinrobe, Mayo","Number","80"
"Birthplace - Dublin (Number)","2016","Ballinspittle, Cork","Number","1"
"Birthplace - Dublin (Number)","2016","Ballintober, Roscommon","Number","7"
"Birthplace - Dublin (Number)","2016","Ballintogher, Sligo","Number","11"
"Birthplace - Dublin (Number)","2016","Ballintra, Donegal","Number","5"
"Birthplace - Dublin (Number)","2016","Ballisodare, Sligo","Number","69"
"Birthplace - Dublin (Number)","2016","Ballivor, Meath","Number","682"
"Birthplace - Dublin (Number)","2016","Ballon, Carlow","Number","146"
"Birthplace - Dublin (Number)","2016","Ballyagran, Limerick","Number","3"
"Birthplace - Dublin (Number)","2016","Ballybay, Monaghan","Number","35"
"Birthplace - Dublin (Number)","2016","Ballybofey-Stranorlar, Donegal","Number","120"
"Birthplace - Dublin (Number)","2016","Ballyboghil, Fingal","Number","340"
"Birthplace - Dublin (Number)","2016","Ballybrittas, Laois","Number","111"
"Birthplace - Dublin (Number)","2016","Ballybunion, Kerry","Number","53"
"Birthplace - Dublin (Number)","2016","Ballycanew, Wexford","Number","118"
"Birthplace - Dublin (Number)","2016","Ballycannan, Clare","Number","11"
"Birthplace - Dublin (Number)","2016","Ballycastle, Mayo","Number","14"
"Birthplace - Dublin (Number)","2016","Ballyclerahan, South Tipperary","Number","21"
"Birthplace - Dublin (Number)","2016","Ballyclogh, Cork","Number","5"
"Birthplace - Dublin (Number)","2016","Ballycolla, Laois","Number","8"
"Birthplace - Dublin (Number)","2016","Ballyconnell, Cavan","Number","53"
"Birthplace - Dublin (Number)","2016","Ballycotton, Cork","Number","21"
"Birthplace - Dublin (Number)","2016","Ballycullane, Wexford","Number","25"
"Birthplace - Dublin (Number)","2016","Ballycumber, Offaly","Number","5"
"Birthplace - Dublin (Number)","2016","Ballydehob, Cork","Number","4"
"Birthplace - Dublin (Number)","2016","Ballydesmond, Cork","Number","0"
"Birthplace - Dublin (Number)","2016","Ballyduff, Kerry","Number","9"
"Birthplace - Dublin (Number)","2016","Ballyedmond, Wexford","Number","30"
"Birthplace - Dublin (Number)","2016","Ballyfarnan, Roscommon","Number","11"
"Birthplace - Dublin (Number)","2016","Ballyforan, Roscommon","Number","11"
"Birthplace - Dublin (Number)","2016","Ballygar, Galway","Number","32"
"Birthplace - Dublin (Number)","2016","Ballygarvan, Cork","Number","15"
"Birthplace - Dublin (Number)","2016","Ballygawley, Sligo","Number","15"
"Birthplace - Dublin (Number)","2016","Ballygeary (Rosslare Harbour), Wexford","Number","115"
"Birthplace - Dublin (Number)","2016","Ballyhack, Wexford","Number","9"
"Birthplace - Dublin (Number)","2016","Ballyhahill, Limerick","Number","0"
"Birthplace - Dublin (Number)","2016","Ballyhaise, Cavan","Number","73"
"Birthplace - Dublin (Number)","2016","Ballyhale, Kilkenny","Number","8"
"Birthplace - Dublin (Number)","2016","Ballyhaunis, Mayo","Number","66"
"Birthplace - Dublin (Number)","2016","Ballyheigue, Kerry","Number","13"
"Birthplace - Dublin (Number)","2016","Ballyhogue, Wexford","Number","23"
"Birthplace - Dublin (Number)","2016","Ballyhooly, Cork","Number","10"
"Birthplace - Dublin (Number)","2016","Ballyjamesduff, Cavan","Number","582"
"Birthplace - Dublin (Number)","2016","Ballyknockan, Wicklow","Number","81"
"Birthplace - Dublin (Number)","2016","Ballylanders, Limerick","Number","4"
"Birthplace - Dublin (Number)","2016","Ballyliffin, Donegal","Number","12"
"Birthplace - Dublin (Number)","2016","Ballylinan, Laois","Number","206"
"Birthplace - Dublin (Number)","2016","Ballylongford, Kerry","Number","9"
"Birthplace - Dublin (Number)","2016","Ballymacarbry, Waterford","Number","0"
"Birthplace - Dublin (Number)","2016","Ballymacoda, Cork","Number","2"
"Birthplace - Dublin (Number)","2016","Ballymahon, Longford","Number","97"
"Birthplace - Dublin (Number)","2016","Ballymore, Westmeath","Number","43"
"Birthplace - Dublin (Number)","2016","Ballymore Eustace, Kildare","Number","281"
"Birthplace - Dublin (Number)","2016","Ballymote, Sligo","Number","61"
"Birthplace - Dublin (Number)","2016","Ballymurn, Wexford","Number","74"
"Birthplace - Dublin (Number)","2016","Ballynacargy, Westmeath","Number","9"
"Birthplace - Dublin (Number)","2016","Ballynoe, Cork","Number","4"
"Birthplace - Dublin (Number)","2016","Ballynonty, South Tipperary","Number","2"
"Birthplace - Dublin (Number)","2016","Ballyoulster, Kildare","Number","174"
"Birthplace - Dublin (Number)","2016","Ballyporeen, South Tipperary","Number","5"
"Birthplace - Dublin (Number)","2016","Ballyragget, Kilkenny","Number","65"
"Birthplace - Dublin (Number)","2016","Ballyroan, Laois","Number","109"
"Birthplace - Dublin (Number)","2016","Ballyroe, Kildare","Number","17"
"Birthplace - Dublin (Number)","2016","Ballysax, Kildare","Number","105"
"Birthplace - Dublin (Number)","2016","Ballyshannon, Donegal","Number","68"
"Birthplace - Dublin (Number)","2016","Ballysimon, Wexford","Number","51"
"Birthplace - Dublin (Number)","2016","Ballytore, Kildare","Number","223"
"Birthplace - Dublin (Number)","2016","Ballyvaughan, Clare","Number","15"
"Birthplace - Dublin (Number)","2016","Balrothery, Fingal","Number","1393"
"Birthplace - Dublin (Number)","2016","Baltimore, Cork","Number","26"
"Birthplace - Dublin (Number)","2016","Baltinglass, Wicklow","Number","699"
"Birthplace - Dublin (Number)","2016","Baltray, Louth","Number","12"
"Birthplace - Dublin (Number)","2016","Banagher, Offaly","Number","58"
"Birthplace - Dublin (Number)","2016","Bandon, Cork","Number","131"
"Birthplace - Dublin (Number)","2016","Bangor Erris, Mayo","Number","3"
"Birthplace - Dublin (Number)","2016","Bansha, South Tipperary","Number","4"
"Birthplace - Dublin (Number)","2016","Banteer, Cork","Number","9"
"Birthplace - Dublin (Number)","2016","Bantry, Cork","Number","64"
"Birthplace - Dublin (Number)","2016","Barndarrig, Wicklow","Number","76"
"Birthplace - Dublin (Number)","2016","Barntown, Wexford","Number","42"
"Birthplace - Dublin (Number)","2016","Baylin, Westmeath","Number","8"
"Birthplace - Dublin (Number)","2016","Béal an Mhuirthead, Mayo","Number","30"
"Birthplace - Dublin (Number)","2016","Béal Átha an Ghaorthaidh, Cork","Number","3"
"Birthplace - Dublin (Number)","2016","Bearna, Galway","Number","179"
"Birthplace - Dublin (Number)","2016","Beaufort, Kerry","Number","13"
"Birthplace - Dublin (Number)","2016","Beaulieu, Louth","Number","12"
"Birthplace - Dublin (Number)","2016","Belcarra, Mayo","Number","3"
"Birthplace - Dublin (Number)","2016","Belgooly, Cork","Number","21"
"Birthplace - Dublin (Number)","2016","Bellanode, Monaghan","Number","13"
"Birthplace - Dublin (Number)","2016","Bellanagare, Roscommon","Number","7"
"Birthplace - Dublin (Number)","2016","Bellavary, Mayo","Number","9"
"Birthplace - Dublin (Number)","2016","Belmont, Offaly","Number","10"
"Birthplace - Dublin (Number)","2016","Belturbet, Cavan","Number","127"
"Birthplace - Dublin (Number)","2016","Bennettsbridge, Kilkenny","Number","33"
"Birthplace - Dublin (Number)","2016","Birr, Offaly","Number","169"
"Birthplace - Dublin (Number)","2016","Blacklion, Cavan","Number","13"
"Birthplace - Dublin (Number)","2016","Blarney, Cork","Number","62"
"Birthplace - Dublin (Number)","2016","Blessington, Kildare and Wicklow","Number","2683"
"Birthplace - Dublin (Number)","2016","Boherbue, Cork","Number","0"
"Birthplace - Dublin (Number)","2016","Boherlahan, Tipperary","Number","8"
"Birthplace - Dublin (Number)","2016","Bohola, Mayo","Number","11"
"Birthplace - Dublin (Number)","2016","Borris, Carlow","Number","36"
"Birthplace - Dublin (Number)","2016","Borris-in-Ossory, Laois","Number","33"
"Birthplace - Dublin (Number)","2016","Borrisokane, North Tipperary","Number","34"
"Birthplace - Dublin (Number)","2016","Borrisoleigh, North Tipperary","Number","24"
"Birthplace - Dublin (Number)","2016","Boyle, Roscommon","Number","133"
"Birthplace - Dublin (Number)","2016","Bracknagh, Offaly","Number","25"
"Birthplace - Dublin (Number)","2016","Bray, Wicklow","Number","13505"
"Birthplace - Dublin (Number)","2016","Bree, Wexford","Number","15"
"Birthplace - Dublin (Number)","2016","Bridebridge, Cork","Number","1"
"Birthplace - Dublin (Number)","2016","Bridge End, Donegal","Number","6"
"Birthplace - Dublin (Number)","2016","Bridgetown, Wexford","Number","32"
"Birthplace - Dublin (Number)","2016","Brittas, South Dublin","Number","136"
"Birthplace - Dublin (Number)","2016","Broadford, Limerick","Number","3"
"Birthplace - Dublin (Number)","2016","Brosna, Kerry","Number","5"
"Birthplace - Dublin (Number)","2016","Brownstown, Kildare","Number","199"
"Birthplace - Dublin (Number)","2016","Bruff, Limerick","Number","10"
"Birthplace - Dublin (Number)","2016","Bruree, Limerick","Number","4"
"Birthplace - Dublin (Number)","2016","Bunclody-Carrickduff, Carlow and Wexford","Number","207"
"Birthplace - Dublin (Number)","2016","Buncrana, Donegal","Number","150"
"Birthplace - Dublin (Number)","2016","Bundoran, Donegal","Number","68"
"Birthplace - Dublin (Number)","2016","Bun na Leaca, Donegal","Number","15"
"Birthplace - Dublin (Number)","2016","Bunratty, Clare","Number","25"
"Birthplace - Dublin (Number)","2016","Bunnyconnelan West, Mayo","Number","5"
"Birthplace - Dublin (Number)","2016","Burnfoot, Donegal","Number","2"
"Birthplace - Dublin (Number)","2016","Butlersbridge, Cavan","Number","25"
"Birthplace - Dublin (Number)","2016","Buttevant, Cork","Number","11"
"Birthplace - Dublin (Number)","2016","Bweeng, Cork","Number","6"
"Birthplace - Dublin (Number)","2016","Cabragh, Monaghan","Number","5"
"Birthplace - Dublin (Number)","2016","Caherconlish, Limerick","Number","23"
"Birthplace - Dublin (Number)","2016","Cahir, South Tipperary","Number","78"
"Birthplace - Dublin (Number)","2016","Cahirciveen, Kerry","Number","45"
"Birthplace - Dublin (Number)","2016","Callan, Kilkenny","Number","130"
"Birthplace - Dublin (Number)","2016","Calverstown, Kildare","Number","220"
"Birthplace - Dublin (Number)","2016","Camolin, Wexford","Number","47"
"Birthplace - Dublin (Number)","2016","Campile, Wexford","Number","7"
"Birthplace - Dublin (Number)","2016","Cappamore, Limerick","Number","9"
"Birthplace - Dublin (Number)","2016","Cappawhite, South Tipperary","Number","9"
"Birthplace - Dublin (Number)","2016","Cappoquin, Waterford","Number","20"
"Birthplace - Dublin (Number)","2016","Carlanstown, Meath","Number","139"
"Birthplace - Dublin (Number)","2016","Carlingford, Louth","Number","104"
"Birthplace - Dublin (Number)","2016","Carlow, Carlow","Number","2651"
"Birthplace - Dublin (Number)","2016","Carndonagh, Donegal","Number","73"
"Birthplace - Dublin (Number)","2016","Carnew, Wicklow","Number","209"
"Birthplace - Dublin (Number)","2016","Carney, Sligo","Number","36"
"Birthplace - Dublin (Number)","2016","Carragh, Kildare","Number","410"
"Birthplace - Dublin (Number)","2016","Carraig Airt, Donegal","Number","6"
"Birthplace - Dublin (Number)","2016","Carrickmacross, Monaghan","Number","181"
"Birthplace - Dublin (Number)","2016","Carrick-on-Shannon, Leitrim and Roscommon","Number","301"
"Birthplace - Dublin (Number)","2016","Carrick-on-Suir, Tipperary","Number","82"
"Birthplace - Dublin (Number)","2016","Carrigaline, Cork","Number","539"
"Birthplace - Dublin (Number)","2016","Carrigallen, Leitrim","Number","23"
"Birthplace - Dublin (Number)","2016","Carrigans, Donegal","Number","2"
"Birthplace - Dublin (Number)","2016","Carrigkerry, Limerick","Number","1"
"Birthplace - Dublin (Number)","2016","Carrignavar, Cork","Number","5"
"Birthplace - Dublin (Number)","2016","Carrigtwohill, Cork","Number","79"
"Birthplace - Dublin (Number)","2016","Carrowkeel, Donegal","Number","6"
"Birthplace - Dublin (Number)","2016","Cashel, Tipperary","Number","128"
"Birthplace - Dublin (Number)","2016","Castlebar, Mayo","Number","463"
"Birthplace - Dublin (Number)","2016","Castlebellingham/Kilsaran, Louth","Number","82"
"Birthplace - Dublin (Number)","2016","Castleblayney, Monaghan","Number","108"
"Birthplace - Dublin (Number)","2016","Castlebridge-Blackwater, Wexford","Number","154"
"Birthplace - Dublin (Number)","2016","Castlecomer-Donaguile, Kilkenny","Number","88"
"Birthplace - Dublin (Number)","2016","Castleconnell, Limerick","Number","110"
"Birthplace - Dublin (Number)","2016","Castledermot, Kildare","Number","455"
"Birthplace - Dublin (Number)","2016","Castle Ellis, Wexford","Number","72"
"Birthplace - Dublin (Number)","2016","Castlefin, Donegal","Number","8"
"Birthplace - Dublin (Number)","2016","Castlegregory, Kerry","Number","23"
"Birthplace - Dublin (Number)","2016","Castleisland, Kerry","Number","38"
"Birthplace - Dublin (Number)","2016","Castlelyons, Cork","Number","8"
"Birthplace - Dublin (Number)","2016","Castlemagner, Cork","Number","3"
"Birthplace - Dublin (Number)","2016","Castlemaine, Kerry","Number","2"
"Birthplace - Dublin (Number)","2016","Castlemartyr, Cork","Number","50"
"Birthplace - Dublin (Number)","2016","Castlepollard, Westmeath","Number","139"
"Birthplace - Dublin (Number)","2016","Castlerea, Roscommon","Number","154"
"Birthplace - Dublin (Number)","2016","Castletown, Laois","Number","40"
"Birthplace - Dublin (Number)","2016","Castletown Geoghegan, Westmeath","Number","6"
"Birthplace - Dublin (Number)","2016","Castletownbere, Cork","Number","16"
"Birthplace - Dublin (Number)","2016","Castletownroche, Cork","Number","8"
"Birthplace - Dublin (Number)","2016","Castletownsend, Cork","Number","3"
"Birthplace - Dublin (Number)","2016","Causeway, Kerry","Number","6"
"Birthplace - Dublin (Number)","2016","Cavan, Cavan","Number","757"
"Birthplace - Dublin (Number)","2016","Ceanannas Mór (Kells), Meath","Number","1121"
"Birthplace - Dublin (Number)","2016","Celbridge, Kildare","Number","9095"
"Birthplace - Dublin (Number)","2016","Charlestown-Bellahy, Mayo and Sligo","Number","36"
"Birthplace - Dublin (Number)","2016","Cheekpoint, Waterford","Number","10"
"Birthplace - Dublin (Number)","2016","Churchtown, Cork","Number","14"
"Birthplace - Dublin (Number)","2016","Cill Charthaigh, Donegal","Number","14"
"Birthplace - Dublin (Number)","2016","Cill Rónáin, Galway","Number","8"
"Birthplace - Dublin (Number)","2016","Clane, Kildare","Number","2489"
"Birthplace - Dublin (Number)","2016","Clara, Offaly","Number","146"
"Birthplace - Dublin (Number)","2016","Claremorris, Mayo","Number","126"
"Birthplace - Dublin (Number)","2016","Clarina, Limerick","Number","8"
"Birthplace - Dublin (Number)","2016","Clarinbridge, Galway","Number","36"
"Birthplace - Dublin (Number)","2016","Clashmore, Waterford","Number","7"
"Birthplace - Dublin (Number)","2016","Clifden, Galway","Number","92"
"Birthplace - Dublin (Number)","2016","Cliffoney, Sligo","Number","14"
"Birthplace - Dublin (Number)","2016","Cloghan, Offaly","Number","16"
"Birthplace - Dublin (Number)","2016","Clogh-Chatsworth, Kilkenny","Number","17"
"Birthplace - Dublin (Number)","2016","Clogheen, South Tipperary","Number","16"
"Birthplace - Dublin (Number)","2016","Clogherhead, Louth","Number","188"
"Birthplace - Dublin (Number)","2016","Clonakilty, Cork","Number","153"
"Birthplace - Dublin (Number)","2016","Clonard, Meath","Number","110"
"Birthplace - Dublin (Number)","2016","Clonaslee, Laois","Number","34"
"Birthplace - Dublin (Number)","2016","Clonbullogue, Offaly","Number","46"
"Birthplace - Dublin (Number)","2016","Clonee Village, Meath","Number","296"
"Birthplace - Dublin (Number)","2016","Clondrohid, Cork","Number","0"
"Birthplace - Dublin (Number)","2016","Clondulane, Cork","Number","9"
"Birthplace - Dublin (Number)","2016","Clonegal, Carlow and Wexford","Number","43"
"Birthplace - Dublin (Number)","2016","Clones, Monaghan","Number","38"
"Birthplace - Dublin (Number)","2016","Clongeen, Wexford","Number","22"
"Birthplace - Dublin (Number)","2016","Clonlara, Clare","Number","16"
"Birthplace - Dublin (Number)","2016","Clonmany, Donegal","Number","8"
"Birthplace - Dublin (Number)","2016","Clonmel, Tipperary","Number","508"
"Birthplace - Dublin (Number)","2016","Clonmellon, Westmeath","Number","232"
"Birthplace - Dublin (Number)","2016","Clonroche, Wexford","Number","22"
"Birthplace - Dublin (Number)","2016","Clontibret, Monaghan","Number","6"
"Birthplace - Dublin (Number)","2016","Cloontuskert, Roscommon","Number","3"
"Birthplace - Dublin (Number)","2016","Clonygowan, Offaly","Number","31"
"Birthplace - Dublin (Number)","2016","Cloonfad, Roscommon","Number","13"
"Birthplace - Dublin (Number)","2016","Cloughduv, Cork","Number","6"
"Birthplace - Dublin (Number)","2016","Cloughjordan, North Tipperary","Number","88"
"Birthplace - Dublin (Number)","2016","Cloyne, Cork","Number","36"
"Birthplace - Dublin (Number)","2016","Cluain Bú, Galway","Number","10"
"Birthplace - Dublin (Number)","2016","Cnoc na Muirleog, Donegal","Number","7"
"Birthplace - Dublin (Number)","2016","Coachford, Cork","Number","7"
"Birthplace - Dublin (Number)","2016","Cobh, Cork","Number","427"
"Birthplace - Dublin (Number)","2016","Coill Dubh (Blackwood), Kildare","Number","195"
"Birthplace - Dublin (Number)","2016","Collinstown, Westmeath","Number","51"
"Birthplace - Dublin (Number)","2016","Collon, Louth","Number","120"
"Birthplace - Dublin (Number)","2016","Collooney, Sligo","Number","61"
"Birthplace - Dublin (Number)","2016","Cong, Galway and Mayo","Number","6"
"Birthplace - Dublin (Number)","2016","Conna, Cork","Number","5"
"Birthplace - Dublin (Number)","2016","Convoy, Donegal","Number","21"
"Birthplace - Dublin (Number)","2016","Coolaney, Sligo","Number","50"
"Birthplace - Dublin (Number)","2016","Coolboy, Wicklow","Number","74"
"Birthplace - Dublin (Number)","2016","Coolgreany, Wexford","Number","50"
"Birthplace - Dublin (Number)","2016","Cootehall, Roscommon","Number","17"
"Birthplace - Dublin (Number)","2016","Cootehill, Cavan","Number","72"
"Birthplace - Dublin (Number)","2016","Cork city and suburbs, Cork","Number","5240"
"Birthplace - Dublin (Number)","2016","Corofin, Clare","Number","40"
"Birthplace - Dublin (Number)","2016","Corrandulla, Galway","Number","5"
"Birthplace - Dublin (Number)","2016","Corrofin, Galway","Number","21"
"Birthplace - Dublin (Number)","2016","Courtbrack, Cork","Number","2"
"Birthplace - Dublin (Number)","2016","Courtmacsherry, Cork","Number","33"
"Birthplace - Dublin (Number)","2016","Courtown Harbour-Riverchapel-Ardamine, Wexford","Number","1395"
"Birthplace - Dublin (Number)","2016","Cratloe, Clare","Number","34"
"Birthplace - Dublin (Number)","2016","Craughwell, Galway","Number","36"
"Birthplace - Dublin (Number)","2016","Creeslough, Donegal","Number","10"
"Birthplace - Dublin (Number)","2016","Crinkle, Offaly","Number","22"
"Birthplace - Dublin (Number)","2016","Croagh, Limerick","Number","1"
"Birthplace - Dublin (Number)","2016","Cromane, Kerry","Number","7"
"Birthplace - Dublin (Number)","2016","Crookstown, Cork","Number","3"
"Birthplace - Dublin (Number)","2016","Croom, Limerick","Number","11"
"Birthplace - Dublin (Number)","2016","Crossakeel, Meath","Number","53"
"Birthplace - Dublin (Number)","2016","Crossbarry, Cork","Number","12"
"Birthplace - Dublin (Number)","2016","Crosshaven-Churchbay, Cork","Number","107"
"Birthplace - Dublin (Number)","2016","Crossmolina, Mayo","Number","31"
"Birthplace - Dublin (Number)","2016","Crusheen, Clare","Number","30"
"Birthplace - Dublin (Number)","2016","Culdaff, Donegal","Number","3"
"Birthplace - Dublin (Number)","2016","Daingean, Offaly","Number","133"
"Birthplace - Dublin (Number)","2016","Danescastle, Wexford","Number","9"
"Birthplace - Dublin (Number)","2016","Delvin, Westmeath","Number","182"
"Birthplace - Dublin (Number)","2016","Derrinturn, Kildare","Number","461"
"Birthplace - Dublin (Number)","2016","Donabate, Fingal","Number","5417"
"Birthplace - Dublin (Number)","2016","Donard, Wicklow","Number","49"
"Birthplace - Dublin (Number)","2016","Donaskeigh, South Tipperary","Number","3"
"Birthplace - Dublin (Number)","2016","Donegal, Donegal","Number","84"
"Birthplace - Dublin (Number)","2016","Doneraile, Cork","Number","6"
"Birthplace - Dublin (Number)","2016","Donore, Meath","Number","106"
"Birthplace - Dublin (Number)","2016","Doohamlat, Monaghan","Number","13"
"Birthplace - Dublin (Number)","2016","Doohooma, Mayo","Number","7"
"Birthplace - Dublin (Number)","2016","Doon, Limerick","Number","5"
"Birthplace - Dublin (Number)","2016","Doonbeg, Clare","Number","8"
"Birthplace - Dublin (Number)","2016","Drangan, South Tipperary","Number","1"
"Birthplace - Dublin (Number)","2016","Drimoleague, Cork","Number","8"
"Birthplace - Dublin (Number)","2016","Drogheda, Louth","Number","5090"
"Birthplace - Dublin (Number)","2016","Droichead Nua (Newbridge), Kildare","Number","6206"
"Birthplace - Dublin (Number)","2016","Dromahair, Leitrim","Number","42"
"Birthplace - Dublin (Number)","2016","Dromina, Cork","Number","2"
"Birthplace - Dublin (Number)","2016","Dromineer, North Tipperary","Number","10"
"Birthplace - Dublin (Number)","2016","Dromiskin, Louth","Number","70"
"Birthplace - Dublin (Number)","2016","Drommahane, Cork","Number","15"
"Birthplace - Dublin (Number)","2016","Dromore West, Sligo","Number","10"
"Birthplace - Dublin (Number)","2016","Drumcollogher, Limerick","Number","4"
"Birthplace - Dublin (Number)","2016","Drumconrath, Meath","Number","29"
"Birthplace - Dublin (Number)","2016","Drumkeen, Donegal","Number","2"
"Birthplace - Dublin (Number)","2016","Drumkeeran, Leitrim","Number","7"
"Birthplace - Dublin (Number)","2016","Drumlish, Longford","Number","94"
"Birthplace - Dublin (Number)","2016","Drumod, Leitrim","Number","79"
"Birthplace - Dublin (Number)","2016","Drumshanbo, Leitrim","Number","83"
