Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
02/05/2018,"4 Harford Green, Willie Nolan Road, Baldoyle",Dublin 13,Dublin,"€511,013.22",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/02/2014,"27A ST ALBANS PARK, SANDYMOUNT, DUBLIN 4",,Dublin,"€570,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/11/2016,"APT 28, MARINERS COURT, 'DUBLIN RD  DUBLIN 13'",Dublin 5,Dublin,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/12/2012,"lodge, puckane, nenagh",,Tipperary,"€70,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
03/11/2014,"38 COLLEGE RD, CORK, CORK",,Cork,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/10/2015,"18 Redbarn, Youghal",,Cork,"€67,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2014,"15 BRAMBLE CLOSE CASTLELAKE, CARRIGTWOHILL, CORK",,Cork,"€272,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2021,"BARRONSTOWN, HACKBALLSCROSS, DUNDALK",,Louth,"€173,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/06/2018,"16 CINNAMON WHARF, THE QUAY, WESTPORT",,Mayo,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2021,"APT 1 EMBASSY LODGE, 1A PRINCE OF WALES TERRACE, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,"€1,449,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/08/2016,"100 PARIC NA MBIATH, BALLIN RD, DUNGARVAN",,Waterford,"€148,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/10/2013,"1A Palmer's Terrace, Ringaskiddy",,Cork,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/05/2019,"31 SHELMALIER RD, EAST WALL, DUBLIN 3",Dublin 3,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/02/2017,"Church Street, Tralee",,Kerry,"€147,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/09/2019,"203 STEEPLECHASE GREEN, RATOATH, MEATH",,Meath,"€142,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2014,"Apartment 1, Cluain Aoibhinn Court, Cavan",,Cavan,"€28,194.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/11/2020,"38 KNOCKMULDOWNEY PARK, BALLISODARE, SLIGO",,Sligo,"€71,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2011,"Ballinadrideen, Ballyhea, Charleville",,Cork,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2017,"11 The Garden, Newtown Hall, Maynooth",,Kildare,"€334,801.76",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/12/2011,"10 St Anne's, Kimmage Road West",,Dublin,"€272,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2012,"13 Cois Cuain, Whitegate",,Cork,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2012,"Apartment 16 Block A, Thornhill Court, Celbridge",,Kildare,"€136,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2020,"1 The Arches, Castle Farm, Jigginstown",,Kildare,"€354,642.22",No,Yes,New Dwelling house /Apartment,
04/11/2021,"152 SHANNON HOUSE, CUSTOM HOUSE SQ, LOWER MAYOR ST DUBLIN 1",Dublin 1,Dublin,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2018,"KILVEMNON, MULLINAHONE, TIPPERARY",,Tipperary,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2020,"48 The Willows, Allenwood, Naas",,Kildare,"€303,964.00",No,Yes,New Dwelling house /Apartment,
21/09/2021,"ROSECOT, BALLYVOLANE, CORK",,Cork,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2019,"8 BACHELORS WALK, BALLYSHANNON, CO DONEGAL",,Donegal,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2019,"11 THE MALTINGS, BONHAM STREET, DUBLIN 8",,Dublin,"€207,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/10/2016,"1 Diswellstown Heath, Hamilton Park, Castleknock",Dublin 15,Dublin,"€374,450.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/05/2019,"11 THE RICHMOND, NORTH BRUNSWICK ST, DUBLIN 7",Dublin 7,Dublin,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2013,"16 Clan House, Dominick Street, Galway",,Galway,"€83,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2014,"25 Waterside Close, Swords Road, Malahide",,Dublin,"€141,592.91",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/06/2020,"BALLYCROY, ST JOHNS POINT, DUNKINEELY",,Donegal,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2021,"SWEETFARM, WEXFORD",,Wexford,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2020,"24 ST ENDAS RD, GURRANEBRAHER, CORK",,Cork,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2021,"APT 13, THE BRIDGE APTS, MAIN ST SHANKILL",Dublin 15,Dublin,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2019,"APT 24 ARCADIA HALL, LOWER GLANMIRE ROAD, CORK",,Cork,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2018,"SCONCE, BALLYMACK, CUFFESGRANGE",,Kilkenny,"€432,500.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2020,"CRONIN, DYSART, CO ROSCOMMON",,Roscommon,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2020,"26 ST MICHAELS TCE, ARKLOW, WICKLOW",,Wicklow,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2021,"103 AN PLASAN, COIS NA HABHAINN, MOATE",,Westmeath,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2021,"8 The Close, An Glasan, Greenville Lane",,Wexford,"€205,000.00",No,Yes,New Dwelling house /Apartment,
13/03/2015,"6 CONVENT AVE, SUNDAYS WELL, CORK",,Cork,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2014,"350 LE FANU RD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2014,"APT 4 AMHRA HOUSE, BOTHER NA MBAN, WOODQUAY",,Galway,"€111,567.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2020,"27 Gearagh, Meadowlands, Macroom",,Cork,"€211,013.22",No,Yes,New Dwelling house /Apartment,
30/09/2016,"47 The Woods, Glounthaune",,Cork,"€224,900.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/12/2015,"UNIT 6, 1 ALBERT PLACE, SUMMERHILL",,Cork,"€49,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2018,"40 Rathborne Walk, Royal Canal Park, Ratoath Road",Dublin 15,Dublin,"€348,000.00",No,Yes,New Dwelling house /Apartment,
21/07/2021,"4 BROOK RD, RHEBOGUE, LIMERICK",,Limerick,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2016,"16 CEDAR BROOK AVE, CHERRY ORCHARD, DUBLIN 10",Dublin 10,Dublin,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2015,"ST RITAS, 19 LOWER HARTSTRONG STREET, LIMERICK",,Limerick,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/10/2014,"5 Coolkill, Sandyford",Dublin 18,Dublin,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/06/2019,"14 BROADMEADOW CASTLE, ASHBOURNE, MEATH",,Meath,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2020,"RATHARNEY, ABBEYSHRULE, CO LONGFORD",,Longford,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2018,"BEECHLAWNS, DUBLIN RD, MULLINGAR",,Westmeath,"€302,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2011,"2 Our Lady of Fatima Close, Rialto",Dublin 8,Dublin,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2012,"23 PARKVIEW, WEXFORD",,Wexford,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2016,"RATHCOFFEY, DONADEA, NAAS",,Kildare,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/04/2013,"15 Sycamore Road, Connell Drive, Newbridge",,Kildare,"€148,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/08/2019,"17 GLENCARRICK, CARRICK ON SHANNON, LEITRIM",,Leitrim,"€167,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2017,"JAMES ST, MITCHELSTOWN, CORK",,Cork,"€91,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2019,"74 SEANABOTHAIR, KILLEENS, CO CORK",,Cork,"€258,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/06/2015,"RATHRUSH, RATHOE, CO.CARLOW",,Carlow,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2018,"27 GLENCARRAIG, SUTTON, DUBLIN 13",Dublin 13,Dublin,"€740,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/04/2015,"58 GLEANNTAIN MANOR, CARNAMUGGAGH, LETTERKENNY",,Donegal,"€124,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/06/2018,"5 MARTINS ROW, CHAPELIZOD, DUBLIN 20",Dublin 20,Dublin,"€820,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2019,"3 WOODSIDE DEMENSE, AIKENS VILLAGE, STEPASIDE",,Dublin,"€590,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2013,"54 Geraldine Street, Phibsboro, Dublin 7",Dublin 7,Dublin,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2021,"113 Friars Green, Tullow Road, Carlow",,Carlow,"€204,405.00",No,Yes,New Dwelling house /Apartment,
13/01/2011,"Earls Hill, Ballynonty, Thurles",,Tipperary,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2018,"4 St Edmund's Grove  St Edmund's, St Loman's Road  Palmerstown, Dublin 20",,Dublin,"€355,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/12/2017,"135 Adamstown Way, Adamstown Square, Adamstown",,Dublin,"€246,696.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/07/2019,"1 CASTLETOWN CROSS, DUNDALK, CO LOUTH",,Louth,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/07/2013,"20 Campbells Park, Ardee",,Louth,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/06/2021,"4 GLENWATERS, GLENFINN RD, BALLYDUFFY",,Donegal,"€209,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/02/2020,"BALLYDEVITT BEG, DONEGAL TOWN, DONEGAL",,Donegal,"€220,000.00",No,Yes,New Dwelling house /Apartment,
26/08/2014,"40 GRANGEFIELD, RATHFARNHAM, DUBLIN 14",Dublin 16,Dublin,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2020,"35 THE GLASSLYNN, BANDON, CORK",,Cork,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2019,"24 Meadow Walk, Castle Heights, Carrigaline",,Cork,"€303,964.00",No,Yes,New Dwelling house /Apartment,
28/09/2016,"46 DUKE STREET, ATHY, CO. KILDARE",,Kildare,"€34,500.00",No,No,Second-Hand Dwelling house /Apartment,
06/02/2017,"62 FOSTERBROOK, STILLORGAN RD, MOUNT MERRION",,Dublin,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2019,"4 An Seanchai, Pulla, Ring",,Waterford,"€125,000.00",No,Yes,New Dwelling house /Apartment,
05/02/2016,"APT 3 THE GLEBE, TOGHER RD, MONASTEREVIN",,Kildare,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2014,"31 CARROWMORE MEADOWS, KNOCK, CO MAYO",,Mayo,"€59,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/01/2016,"Mountain View, Poulnacapple, Callan",,Kilkenny,"€170,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
07/03/2014,"17 Ard na nGleann, Lyre, Banteer",,Cork,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2016,"612 SHANRAHEEN, ATHY, KILDARE",,Kildare,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/08/2021,"27 THE MOORINGS, COLLA ROAD, SCHULL",,Cork,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2017,"102 Churchfields, Ashbourne",,Meath,"€340,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
29/04/2011,"4 Emmet Street, Tipperary Town",,Tipperary,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2020,"31  Knightsgate Crescent, Rush",,Dublin,"€308,370.00",No,Yes,New Dwelling house /Apartment,
15/09/2014,"LISAVALY, LISACUL, CASTLEREA",,Roscommon,"€66,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2019,"CAHERASS, CROOM, LIMERICK",,Limerick,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2014,"Apartment 289 Bushy Park House, Templeogue Road, Terenure",,Dublin,"€221,629.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2018,"12 OSBERSTOWN DR, SALLINS, NAAS",,Kildare,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/10/2021,"GURTEEN, BALLYMOATE, CO SLIGO",,Sligo,"€58,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2019,"14 NORTH KING ST, APT 1, DUBLIN 7",Dublin 7,Dublin,"€825,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2012,"3 Rye River Avenue, Leixlip, (one half undivided share)",,Kildare,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2021,"24 MILLERS COURT, OLD QUARTER, BALLINCOLLIG",,Cork,"€463,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2018,"BALLINLOUGH, LEAP, COUNTY CORK",,Cork,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2013,"Site 1, Sheldon, St. Patrick's Hill",,Cork,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2019,"PRAGUE CHALLET, LOVE LANE, DONERAILE DRIVE",,Waterford,"€38,500.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2019,"4 THE NURSERIES, CHERRY LANE, DELGANY",,Wicklow,"€865,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2016,"8 GRANGELEA, ASHFORD, WICKLOW",,Wicklow,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2016,"27 THE MALTHOUSE, MAIN ST, CASTLEBELLINGHAM",,Louth,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2018,"106 ALTMORE HOUSE, TULLAMORE, OFFALY",,Offaly,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2016,"THE COTTAGE, CAHERAPHUCA, CRUSHEEN",,Clare,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2017,"22 ARD NA LOCHA, LAKE ROAD, MOATE",,Westmeath,"€162,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/07/2019,"7 PRIORY PARK, BALLAGHADERREEN, COUNTY ROSCOMMON",,Roscommon,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"25 BALLSBRIDGE TERRACE, DUBLIN 4, DUBLIN",Dublin 4,Dublin,"€985,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2014,"CULLENTRA, COOTEHILL ROAD, BALLYHAISE P.O.",,Cavan,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/10/2021,"2, SAINT PETERS CLOSE, ROYAL CANAL BANK PHIBSBOROUGH",Dublin 7,Dublin,"€234,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/06/2014,"31 UPPER GRATTAN PARK, GREYSTONES, CO WICKLOW",,Wicklow,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/07/2021,"DRUMACAVERN, CULLOVILLE, CASTLEBLAYNEY",,Monaghan,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2019,"9 Gleann Orga, Ballinhassig",,Cork,"€462,556.00",No,Yes,New Dwelling house /Apartment,
29/09/2011,"2  Martello Court, Newcastle Road, Galway",,Galway,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2019,"12 QUEEN STREET CLONMEL, CO TIPPERARY",,Tipperary,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2019,"1 GLENLUSK HOUSE, MOYCULLEN, GALWAY",,Galway,"€125,250.00",No,No,Second-Hand Dwelling house /Apartment,
02/05/2019,"83 THE OAKS, KEATINGSTOWN RD, RATHNEW",,Wicklow,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2019,"PULLEEN, TARBERT, KERRY",,Kerry,"€149,500.00",No,No,Second-Hand Dwelling house /Apartment,
03/12/2010,"Apartment 3, Kilmainham Square, Kilmainham",Dublin 8,Dublin,"€6,629.38",No,No,Second-Hand Dwelling house /Apartment,
29/09/2015,"38 CUAN GLAS, BISHOP ODONNELL RD, RAHOON",,Galway,"€106,250.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2014,"1 MONSSTERY GATE AVE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€282,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/04/2013,"5 palmerstown court, rathmines",Dublin 6,Dublin,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/04/2020,"8 THE AVENUE, DRUMMIN VILLAGE, NENAGH",,Tipperary,"€148,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2021,"5 Prospect House, Blackrock",,Dublin,"€559,471.36",No,Yes,New Dwelling house /Apartment,
27/10/2020,"64 Longview Avenue, Millers Glen, Swords",,Dublin,"€307,075.00",No,Yes,New Dwelling house /Apartment,
26/02/2018,"26 THE ELMS, ARCHERSTOWN DEMESNE, ASHBOURNE",,Meath,"€295,154.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/12/2012,"5 Lindenvale, Proby Sqaure, Blackrock",,Dublin,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2016,"6 Olive Crescent, Fruithill Manor, Graiguecullen",,Laois,"€127,753.30",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/05/2010,"2 Waterpark Avenue, Waterpark, Carrigaline",,Cork,"€176,211.45",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/01/2016,"APT 51, 25 WOLFE TONE ST, DUBLIN 1",Dublin 1,Dublin,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/05/2018,"2 GLENCAIRN WAY, THE GALLOPS, LEOPARDSTOWN DUBLIN 18",Dublin 18,Dublin,"€710,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/04/2018,"12 WHITE CASTLE LAWN, ATHY, KILDARE",,Kildare,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2018,"4 OAK AVE, CLASSIS LAKE, OVENS",,Cork,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2013,"198 Oldbridge Station, Osberstown, Naas",,Kildare,"€176,212.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/03/2017,"Apartment 159 Neptune Block, Honeypark, Dun-Laoghaire",,Dublin,"€396,475.78",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/12/2018,"4 Cearnog Ciarain, Slí na Manach, Mungret",,Limerick,"€251,101.00",No,Yes,New Dwelling house /Apartment,
13/01/2021,"244 LAUREL PARK, NEWCASTLE, GALWAY",,Galway,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/09/2019,"11 FAIRVIEW, GRAIGUENAMANAGH, CO KILKENNY",,Kilkenny,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2013,"GLENCARNEY, ROCKCHAPEL, MALLOW",,Cork,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2021,"25 ROCKVIEW, SIMONSRIDGE, SANDYFORD DUBLIN 18",Dublin 18,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2017,"1 LAKE WAY, KILMINCHY, PORTLAOISE",,Laois,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2010,"24a, church street, skerries",,Dublin,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"8 COLTHURST GARDENS, HUNTINGTON GLEN, LUCAN",,Dublin,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/04/2020,"Apartment 10  Block F, Mount Argus Apartments",Dublin 6w,Dublin,"€468,351.00",No,Yes,New Dwelling house /Apartment,
06/09/2016,"11 ALLENDALE WALK, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2015,"3 Knockgreany, Coolgreany, Gorey",,Wexford,"€100,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/10/2010,"Ballinaratha, Dunquin, Co Kerry",,Kerry,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2018,"8 KILLALLON RD, CLONMELLON, WESTMEATH",,Westmeath,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2014,"SOUTHPARK, CASTLEREA, CO ROSCOMMON",,Roscommon,"€47,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2014,"103 DORNEY COURT, SHANKILL, DUBLIN",Dublin 18,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/01/2021,"DRUMHAGGART, MUFF, DONEGAL",,Donegal,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/06/2019,"32 WOODQUAY, GALWAY",,Galway,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2020,"27 Newtown Manor, Monaleen",,Limerick,"€257,268.72",No,Yes,New Dwelling house /Apartment,
05/02/2019,"7 LARNACH APTS, BOHERMORE, GALWAY",,Galway,"€141,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2017,"18 Haggart View, Clarecastle",,Clare,"€182,819.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
09/02/2015,"Apartment 8, Irishtown Court, Athlone",,Westmeath,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2019,"32 RATHBORNE WALK, ROYAL CANAL PARK, RATHOATH ROAD",,Dublin,"€348,017.00",No,Yes,New Dwelling house /Apartment,
28/04/2010,"132 The Heath, Ramsgate Village, Gorey",,Wexford,"€164,958.93",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/04/2014,"11 BLOOMFIELD DR, ATHLONE, WESTMEATH",,Westmeath,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2015,"39 Carlinn Court, Mullaharlin Rd, Dundalk",,Louth,"€183,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
02/02/2018,"No. 14 Glenatore, Coosan, Athlone",,Westmeath,"€185,022.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
15/06/2016,"23 CROTANSTOWN GRANGE, GREEN ROAD, NEWBRIDGE",,Kildare,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2021,"26 Newtown Manor, Monaleen",,Limerick,"€365,638.76",No,Yes,New Dwelling house /Apartment,
14/02/2017,"25 GOODTIDE HARBOUR, WEXFORD, WEXFORD",,Wexford,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2021,"2 CASTLEFIELD, WICKLOW TOWN, CO WICKLOW",,Wicklow,"€45,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
15/10/2021,"24 WILLOWBANK COURT, MILL RD, MIDLETON",,Cork,"€335,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2014,"TONNISCOFFEY, DUNRAYMOND, MONAGHAN",,Monaghan,"€212,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2019,"2 Waverly View, Waverly, Blacklion",,Wicklow,"€439,647.00",No,Yes,New Dwelling house /Apartment,
10/09/2018,"VILLA TONA, COOLAGH RD, ABBEYSIDE",,Waterford,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2020,"55 Oldbridge Park, Osberstown, Naas",,Kildare,"€290,704.00",No,Yes,New Dwelling house /Apartment,
18/09/2012,"' St. Martins', Ightermurragh, Ladysbridge",,Cork,"€118,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2019,"NO 8 THE BIRCHES, GALWAY ROAD, TUAM",,Galway,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2017,"BROADWATER HOUSE, GREENHILLS RD, WICKLOW TOWN",,Wicklow,"€694,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2016,"APT 20 THE, PORTMARNOCK, QUARRY",Dublin 15,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2012,"63 Woodpark, Castleknock Road, Dublin 15",,Dublin,"€585,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"Apartment 62 Neptune Block, Honeypark, Dun-Laoghaire",,Dublin,"€484,581.50",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/06/2019,"17 NORTHBROOK, CASTLEBAR, MAYO",,Mayo,"€137,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2013,"Mountain Park, Carlingford",,Louth,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2016,"2 KILMINCHY PLACE, PORTLAOISE, LAOIS",,Laois,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2019,"55 Mill Gate, Millerstown, Kilcock",,Kildare,"€295,154.18",No,Yes,New Dwelling house /Apartment,
26/10/2016,"5 parkside drive, malahide road, dublin 13",Dublin 13,Dublin,"€275,330.40",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/09/2012,"suite 41 the lodge, doonbeg",,Clare,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2018,"APT 5 PINECOURT, CASTLECOURT, CARRIGTWOHILL",,Cork,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2017,"35 MIMOSA HALL, LEOPARDSTOWN, THE GALLOPS DUBLIN 18",Dublin 18,Dublin,"€238,000.00",No,No,Second-Hand Dwelling house /Apartment,
